Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Region
Algeria,23.504083333333337,23.39033333333333,23.18241666666667,23.317833333333336,23.147499999999997,22.97375,23.301333333333332,22.861666666666668,23.185916666666667,23.458250000000003,23.322833333333335,22.672250000000002,22.698166666666665,22.886166666666668,22.541,22.71641666666667,22.35675,23.546083333333332,23.161833333333334,23.396833333333333,23.16016666666667,23.579250000000002,23.094166666666666,23.683000000000003,23.063083333333335,23.52625,23.25666666666667,24.24775,23.81566666666667,23.724333333333334,24.014416666666666,23.011083333333332,22.767,23.450833333333335,23.642083333333336,23.7225,23.734333333333336,23.955166666666667,23.920583333333337,24.29941666666667,24.03225,24.72441666666667,24.263,24.393666666666665,23.916,24.222583333333333,24.200833333333335,24.06533333333333,23.95025,24.154333333333337,25.215666666666667,24.144166666666667,23.95483333333333,25.1215,Northern Africa
Angola,21.927083333333332,21.93875,21.84866666666667,21.83775,21.68641666666667,21.819916666666668,22.103250000000003,21.776416666666666,21.748166666666666,22.1905,22.149833333333333,21.837,22.011,22.349666666666668,21.623499999999996,21.738916666666668,21.44741666666667,21.95075,21.816999999999997,22.144750000000002,22.077583333333333,22.02791666666667,21.820000000000004,22.367250000000002,22.356166666666667,22.021833333333333,22.03625,22.749916666666667,22.412333333333333,22.12216666666667,22.466416666666664,22.095416666666665,22.498583333333332,22.291,22.18941666666667,22.936166666666665,22.479249999999997,22.317166666666665,23.120166666666666,22.382083333333338,22.360666666666663,22.502916666666668,22.9255,23.06658333333333,22.572833333333335,22.966083333333334,21.947083333333335,22.427083333333332,22.287333333333333,22.3165,22.6815,22.029666666666667,22.123333333333335,22.507875,Central Africa
Benin,27.203999999999997,26.944083333333335,27.028499999999998,27.398750000000003,27.046333333333333,27.046666666666667,27.2435,26.976083333333335,27.175666666666668,27.574083333333334,27.524916666666666,27.158833333333334,27.361333333333334,27.887249999999998,27.099333333333334,26.95075,26.961,27.46175,27.24383333333333,27.560666666666666,27.564333333333334,27.463333333333335,27.2955,27.72975,27.5455,27.50425,27.345916666666668,28.207583333333332,27.592333333333332,27.160416666666666,27.793833333333335,27.380916666666668,27.230583333333332,27.597916666666666,27.335583333333332,27.61616666666667,27.703916666666668,27.542,28.088583333333332,27.68041666666667,27.637666666666664,27.675833333333333,27.8195,27.964583333333337,27.872,28.153333333333332,28.144333333333336,28.0705,27.690916666666666,28.15608333333333,28.32558333333333,28.061166666666665,27.751833333333334,28.160625,Western Africa
Botswana,22.15133333333333,22.15725,22.222416666666664,21.49325,22.027833333333334,22.242083333333337,22.409916666666664,21.632500000000004,21.930000000000003,22.312083333333334,22.855833333333333,22.080916666666667,22.05816666666667,22.373,21.223666666666666,21.67025,21.144250000000003,22.063916666666668,21.693833333333334,22.365750000000002,21.845916666666668,21.605666666666664,22.48783333333333,22.964416666666665,22.52591666666667,22.27266666666667,22.308333333333334,23.144333333333336,22.25316666666667,22.104166666666668,22.944833333333335,22.05966666666667,23.290833333333335,22.680750000000003,22.379166666666666,23.213833333333337,22.19966666666667,22.33683333333333,23.07058333333333,22.977999999999998,21.872333333333334,22.3505,22.98566666666667,23.395166666666668,22.346083333333336,23.36883333333333,21.804000000000002,22.400500000000005,22.311166666666665,22.139750000000003,22.730166666666666,21.955083333333334,22.40008333333333,21.82575,Southern Africa
Burkina Faso,28.132083333333338,27.8175,27.97475,28.361,28.023833333333332,27.891750000000002,28.203000000000003,27.91841666666667,28.12291666666667,28.732583333333334,28.50091666666667,28.2285,28.332583333333332,28.820166666666665,28.016166666666667,27.903166666666667,27.770833333333332,28.34958333333333,28.445666666666668,28.482333333333333,28.766833333333334,28.4055,28.092833333333335,28.715083333333336,28.628666666666664,28.436833333333336,28.297833333333333,29.163833333333333,28.43575,28.19825,28.80633333333333,28.459416666666666,28.132,28.621083333333335,28.03933333333333,28.469583333333333,28.73908333333333,28.569166666666664,28.99291666666667,28.451166666666666,28.59141666666667,28.732166666666668,28.978166666666667,28.883499999999998,28.989166666666666,29.238333333333333,28.92025,28.983249999999998,28.489583333333332,29.083,29.288750000000004,29.060666666666666,28.63,29.3855,Western Africa
Burundi,20.024833333333333,20.1335,19.813166666666667,19.778333333333332,19.995833333333334,20.07575,20.117166666666666,19.938416666666665,19.9255,20.363416666666666,20.054916666666667,19.65908333333333,20.260166666666667,20.334416666666666,19.94,19.928,20.092000000000002,20.419416666666667,20.314,20.37625,20.577,20.41125,20.370333333333335,20.84575,20.309416666666667,20.27958333333333,20.389583333333334,20.96975,20.638833333333334,20.010916666666667,20.409333333333333,20.238333333333333,20.56825,20.483333333333334,20.538999999999998,20.824333333333332,20.395750000000003,20.78425,20.8135,20.314,20.595833333333335,20.51033333333333,20.74983333333333,20.931333333333335,20.960416666666667,21.442166666666665,21.066333333333333,20.580916666666667,20.567916666666665,20.76425,21.06875,20.545916666666667,20.75425,20.86275,Eastern Africa
Cameroon,24.50775,24.25391666666667,24.363166666666668,24.553833333333333,24.292083333333334,24.33491666666667,24.499166666666667,24.3655,24.355833333333333,24.655,24.610416666666666,24.252166666666668,24.532583333333335,24.907583333333335,24.231833333333338,24.23025,24.294083333333333,24.681166666666666,24.50725,24.786916666666666,24.76875,24.300416666666667,24.296083333333332,24.676333333333332,24.483333333333334,24.375083333333333,24.50691666666667,25.019333333333332,24.677000000000003,24.21875,24.889666666666667,24.733833333333333,24.29733333333333,24.66225,24.631666666666664,24.817999999999998,24.70075,24.817333333333334,25.323083333333333,24.656166666666667,24.613,24.65191666666667,24.95025,25.012333333333334,25.170833333333334,25.267833333333332,25.29341666666667,25.209833333333336,25.12108333333333,25.40733333333333,25.46475,24.876583333333333,24.877,25.307625,Central Africa
Cape Verde,23.973166666666668,24.292833333333334,24.473833333333335,24.468416666666666,24.225166666666667,23.938166666666664,24.476416666666665,24.034666666666666,23.884416666666667,24.966250000000002,24.738416666666666,24.013833333333334,24.034166666666668,24.451583333333332,23.690583333333333,24.033416666666668,24.043833333333335,24.485250000000004,24.586833333333335,24.931833333333334,24.73325,24.634083333333333,24.19033333333333,24.748,24.37516666666667,24.343666666666667,24.190749999999998,24.926000000000002,24.618333333333336,24.567583333333335,24.745333333333335,24.631416666666667,24.68225,24.44966666666667,24.458833333333335,25.167333333333332,25.230666666666668,25.30616666666667,25.373666666666665,24.627,24.71591666666667,25.285583333333335,25.10466666666667,24.825666666666667,24.892916666666668,25.133,25.068416666666668,24.793666666666667,24.96975,24.599083333333336,25.83241666666667,25.308833333333336,25.1035,24.5305,Western Africa
Central African Republic,25.402500000000003,25.11175,25.129166666666666,25.34675,25.15275,25.27208333333333,25.361083333333337,25.114416666666667,25.143833333333333,25.48466666666667,25.42975,25.10066666666667,25.45141666666667,25.804666666666666,25.142083333333336,25.26325,25.28616666666667,25.477,25.399,25.676583333333337,25.7865,25.276,25.257166666666667,25.590166666666665,25.295416666666668,25.308833333333336,25.50566666666667,25.867500000000003,25.534000000000002,25.31833333333333,25.71591666666667,25.699833333333334,25.092083333333335,25.74875,25.68275,25.631833333333333,25.717250000000003,26.042666666666666,26.204333333333334,25.46941666666667,25.613333333333333,25.710166666666666,25.81941666666667,26.014833333333332,26.14,26.332166666666666,26.205083333333334,26.067833333333336,25.968666666666667,26.51091666666667,26.329833333333337,25.63875,25.6395,26.210875,Central Africa
Chad,27.5235,26.236583333333332,27.104,27.54791666666667,26.979833333333335,26.885500000000004,27.007666666666665,26.953333333333333,27.059250000000002,27.898,27.020750000000003,26.913083333333333,27.451999999999998,27.709583333333338,26.89,26.98783333333333,27.487750000000002,26.827333333333332,27.110083333333336,27.551333333333332,27.480500000000003,27.194833333333335,27.259833333333333,27.139499999999998,27.563083333333335,27.412000000000003,27.55616666666667,27.659666666666666,27.32025,26.84,27.619250000000005,27.5535,26.919666666666668,27.612416666666665,27.261083333333332,27.461833333333335,27.7835,27.797416666666667,27.895833333333332,27.779833333333332,27.447833333333335,27.63525,27.772833333333335,27.878083333333336,28.017416666666666,28.211250000000003,28.048000000000002,27.860166666666668,27.7025,28.324250000000003,28.6965,27.784833333333335,27.701166666666666,28.356,Central Africa
